이름,재료,알레르기,선호_요리,레시피_과정
갈비탕,"소갈비 500g, 무 1/4개, 대파, 마늘 5개, 물",없음,한식,"갈비를 핏물 제거 후 끓는 물에 데쳐 불순물을 제거합니다. 갈비, 무, 마늘을 넣고 물을 부어 푹 끓입니다. 무가 익으면 건져내고 파를 썰어 올립니다."
시금치 된장국,"시금치 1단, 된장 1.5T, 마늘 1t, 멸치육수",없음,한식,시금치를 다듬어 끓는 물에 데쳐 찬물에 헹굽니다. 된장에 마늘과 시금치를 버무려 멸치육수에 넣고 끓입니다.
잡채밥,"밥 1공기, 잡채, 짜장 소스(간단 버전), 돼지고기 50g, 양파 1/4개",없음,중식,"잡채와 돼지고기, 양파를 볶습니다. 간장과 물엿으로 짜장 소스를 만들고 볶은 재료에 넣습니다. 밥 위에 올려 냅니다."
파닭볶음,"닭다리살 300g, 대파 1개, 마늘 5개, 간장 3T, 설탕 1T, 후추",없음,한식,"닭다리살을 썰고 간장, 설탕, 후추로 양념합니다. 팬에 기름을 두르고 닭고기와 마늘을 볶습니다. 대파를 길게 썰어 넣고 숨이 죽을 때까지 볶아줍니다."
오징어 볶음,"오징어 1마리, 양파 1/2개, 대파 1/2개, 고추장 2T, 고춧가루 1T, 설탕 1T, 마늘 1T",오징어,한식,오징어와 야채를 썰고 양념장을 만듭니다. 팬에 오징어를 먼저 볶다가 야채와 양념장을 넣고 센 불에서 빠르게 볶아줍니다.
소고기 무국,"소고기 국거리 100g, 무 1/4개, 대파 1/2개, 국간장 2T, 참기름 1T, 물",없음,한식,냄비에 참기름을 두르고 소고기와 무를 볶습니다. 국간장으로 간하고 물을 부어 무가 익을 때까지 끓입니다.
김치전,"김치 200g, 부침가루 1컵, 물, 양파 약간, 대파 약간",밀,한식,"김치와 야채를 다지고 부침가루, 물을 섞어 반죽합니다. 팬에 기름을 넉넉히 두르고 반죽을 얇게 펴서 앞뒤로 노릇하게 구워줍니다."
삼겹살 구이,"삼겹살 450g, 소금 약간, 후추 약간",없음,한식,팬에 삼겹살을 올리고 소금과 후추를 뿌려 앞뒤로 노릇하게 구워줍니다.
제육볶음,"돼지고기 목살 300g, 양파 1/2개, 대파 1/2개, 고추장 3T, 고춧가루 1T, 설탕 1T, 마늘 1T, 간장 1T, 참기름 1t",없음,한식,돼지고기를 양념장에 버무려 30분 재웁니다. 팬에 고기와 양파, 대파를 넣고 볶아줍니다.
김치찌개 (돼지고기),"김치 300g, 돼지고기 150g, 두부, 양파 1/4개, 대파, 김치 국물, 물",없음,한식,"돼지고기와 김치를 냄비에 넣고 볶습니다. 김치 국물과 물을 넣고 끓이다가 두부, 양파, 대파를 넣고 푹 끓여줍니다."
계란 후라이,"계란 1개, 소금 약간, 식용유",계란,없음,팬에 기름을 두르고 계란을 깨뜨립니다. 소금을 살짝 뿌려 익혀줍니다.
김치전,"김치 200g, 부침가루 1컵, 물, 양파 약간",밀,한식,"김치와 야채를 다지고 부침가루, 물을 섞어 반죽합니다. 팬에 기름을 두르고 얇게 펴서 구워줍니다."
계란말이,"계란 3개, 소금 약간, 파 약간",계란,한식,계란을 풀고 물과 소금을 섞습니다. 팬에 기름을 두르고 계란물을 조금씩 부어가며 돌돌 말아줍니다.
밥과 고추장,"밥 1공기, 고추장 1T, 참기름 1t",없음,한식,밥에 고추장과 참기름을 넣어 비벼 먹습니다.
마늘 구이,"마늘 5개, 식용유",없음,한식,마늘을 슬라이스하거나 통으로 기름에 노릇하게 구워냅니다.
상추 겉절이,"상추 10장, 고춧가루 1T, 간장 1T, 식초 1T, 설탕 1t, 마늘 1t, 참기름",없음,한식,상추를 찢고 양념장과 함께 살살 버무립니다.
된장찌개 (기본),"된장 2T, 두부 1/2모, 호박 1/4개, 양파 1/4개, 물",없음,한식,물에 된장을 풀고 호박, 양파를 넣고 끓이다가 두부를 넣고 마무리합니다.
닭볶음탕,"닭고기 500g, 감자 2개, 양파 1개, 대파 1/2개, 고추장 3T, 고춧가루 2T, 간장 3T, 설탕 1T, 마늘 1T",없음,한식,"닭고기를 한번 데쳐낸 후, 감자와 양념장을 넣고 끓입니다. 감자가 익으면 양파와 대파를 넣고 국물이 자작해질 때까지 조려줍니다."
소갈비찜,"소갈비 600g, 무 1/4개, 당근 1/2개, 대추 3알, 간장 5T, 설탕 2T, 마늘 1T, 참기름 1T, 물",없음,한식,"갈비 핏물을 빼고 끓는 물에 데칩니다. 냄비에 갈비, 무, 당근과 양념장을 넣고 푹 끓여줍니다. 고기가 부드러워지면 완성합니다."
고등어조림,"고등어 1마리, 무 200g, 양파 1/2개, 대파 1/2개, 고춧가루 2T, 간장 3T, 설탕 1T, 마늘 1T, 물",없음,한식,"냄비 바닥에 무를 깔고 고등어와 양념장을 올립니다. 물을 자작하게 붓고 끓이다가 양파와 대파를 넣고 국물이 졸아들 때까지 조립니다."
두부조림,"두부 1모, 양파 1/4개, 대파 약간, 간장 3T, 고춧가루 1T, 설탕 0.5T, 마늘 0.5T, 참기름 1t, 물",없음,한식,"두부를 썰어 팬에 노릇하게 굽습니다. 냄비에 두부와 양념장, 물을 넣고 약불에서 간이 배도록 조려줍니다."
떡볶이,"떡볶이 떡 300g, 어묵 2장, 양배추 약간, 대파 1/2개, 고추장 3T, 고춧가루 1T, 설탕 2T, 간장 1T, 물","밀, 어묵(밀가루)",한식,"팬에 물과 양념장을 풀고 끓입니다. 떡과 어묵, 양배추를 넣고 떡이 말랑해질 때까지 끓이다가 대파를 넣고 마무리합니다."
김밥,"김밥김 3장, 밥 2공기, 단무지, 우엉, 시금치, 당근, 계란 2개, 참기름, 소금",계란,한식,"밥에 소금, 참기름으로 간을 합니다. 계란 지단을 부치고 당근을 볶는 등 재료를 준비합니다. 김 위에 밥과 재료를 올려 돌돌 말아줍니다."
감자전,"감자 3개, 양파 1/4개, 부침가루 2T, 소금 약간, 식용유",밀,한식,"감자와 양파를 강판에 갑니다. 부침가루와 소금을 섞어 반죽을 만듭니다. 팬에 기름을 넉넉히 두르고 반죽을 얇게 펴서 앞뒤로 노릇하게 부칩니다."
콩나물 무침,"콩나물 300g, 대파 약간, 고춧가루 1T, 국간장 1T, 마늘 0.5T, 참기름 1T, 깨",없음,한식,"콩나물을 끓는 물에 데쳐 찬물에 헹굽니다. 물기를 짠 콩나물에 모든 양념 재료를 넣고 조물조물 무쳐줍니다."
멸치볶음,"잔멸치 100g, 아몬드 슬라이스 20g, 간장 1T, 물엿 2T, 설탕 0.5T, 식용유",견과류,한식,"팬에 기름을 두르고 멸치를 볶아 비린내를 날립니다. 간장, 설탕, 물엿을 끓여 시럽을 만든 후 불을 끄고 멸치와 아몬드를 넣고 빠르게 버무립니다."
부대찌개,"소시지 100g, 햄 100g, 다진 돼지고기 100g, 김치 150g, 두부 1/2모, 라면사리 1개, 고춧가루 2T, 간장 1T, 마늘 1T, 사골육수","밀, 우유 (햄, 소시지, 라면사리 성분 확인 필요)",한식,"냄비에 김치와 햄, 소시지, 두부 등 재료를 돌려 담습니다. 양념장과 사골육수를 붓고 끓이다가 라면사리를 넣어 익혀 먹습니다."
안동찜닭,"닭 1마리(약 1kg), 당면 100g, 감자 1개, 당근 1/2개, 양파 1개, 건고추 2개, 간장 5T, 설탕 2T, 물엿 1T, 마늘 1T, 물",없음,한식,"닭을 데친 후 물과 간장 양념, 감자, 당근, 건고추를 넣고 끓입니다. 닭이 익으면 불린 당면과 양파를 넣고 국물이 졸아들 때까지 조립니다."
무생채,"무 300g, 대파 약간, 고춧가루 2T, 설탕 1T, 식초 1T, 소금 0.5T, 마늘 0.5T, 깨",없음,한식,"무를 가늘게 채 썰어 소금에 10분간 절입니다. 물기를 살짝 짜낸 무에 고춧가루를 먼저 버무려 색을 입힌 후 나머지 양념을 넣고 무칩니다."
칼국수,"칼국수면 200g, 애호박 1/4개, 감자 1/2개, 대파 1/2개, 멸치육수 1L, 국간장 1T, 소금 약간",밀,한식,"멸치육수에 감자를 넣고 끓입니다. 육수가 끓으면 칼국수면과 애호박을 넣고 끓이다가 국간장과 소금으로 간하고 대파를 넣어 마무리합니다."
콩나물밥,"쌀 2컵, 콩나물 200g, 다진 소고기 100g, 물, 양념장(간장 4T, 참기름 1T, 고춧가루 1t, 파, 마늘)",없음,한식,"쌀 위에 콩나물과 양념한 소고기를 얹어 밥을 짓습니다. 완성된 밥을 양념장과 함께 비벼 먹습니다.
계란프라이,"계란 2개, 소금",계란,없음,프라이팬에 기름을 두르고 중불을 킵니다. 계란 2개의 껍질을 깨고 기름 위에 올립니다. 기호에 맞게 소금을 뿌리고 굽습니다.
